spp,name,type,class,guild,size,dig,mass
buffalo,Syncerus caffer,LH,wildlife,grazer,meso,ruminant,
bushbuck,Tragelaphus scriptus,LH,wildlife,browser,meso,ruminant,
common duiker,Sylvicapra grimmia,LH,wildlife,browser,small,ruminant,
cow,Bos primigenius taurus,LH,livestock,grazer,meso,ruminant,
donkey,Equus africanus asinus,LH,livestock,grazer,meso,nonruminant,
duiker,Sylvicapra grimmia,LH,wildlife,browser,small,ruminant,
elephant,Loxodonta africana,LH,wildlife,mixedfeeder,mega,nonruminant,
gemsbok,Oryx gazella,LH,wildlife,grazer,meso,ruminant,
giraffe,Giraffa camelopardalis,LH,wildlife,browser,mega,ruminant,
goat,Capra aegagrus hircus,LH,livestock,browser,meso,ruminant,
hippo,Hippopotamus amphibius,LH,wildlife,grazer,mega,nonruminant,
horse,Equus ferus caballus,LH,livestock,grazer,meso,nonruminant,
impala,Aepyceros melampus,LH,wildlife,mixedfeeder,meso,ruminant,
kudu,Tragelaphus strepsiceros,LH,wildlife,browser,meso,ruminant,
ostrich,Struthio camelus,LH,wildlife,grazer,meso,nonruminant,
sheep,Ovis orientalis aries,LH,livestock,grazer,meso,ruminant,
springbok,Antidorcas marsupialis,LH,wildlife,mixedfeeder,meso,ruminant,
steenbok,Raphicerus campestris,LH,wildlife,browser,small,ruminant,
warthog,Phacochoerus africanus,LH,wildlife,grazer,meso,nonruminant,
wildebeest,Connochaetes taurinus,LH,wildlife,grazer,meso,ruminant,
zebra,Equus quagga,LH,wildlife,grazer,meso,nonruminant,
